"Time","mimir-chunks-cache-0","mimir-chunks-cache-1","mimir-compactor-0","mimir-distributor-d6b6f7d4f-hm5nm","mimir-distributor-d6b6f7d4f-sxqxp","mimir-gateway-799d948dcd-tb2hc","mimir-index-cache-0","mimir-index-cache-1","mimir-index-cache-2","mimir-ingester-zone-a-0","mimir-ingester-zone-b-0","mimir-ingester-zone-c-0","mimir-ingester-zone-c-1","mimir-metadata-cache-0","mimir-nginx-f98556c4f-gqcgj","mimir-querier-78dc66d94d-w96xv","mimir-query-frontend-b66c8df6d-sl6ss","mimir-results-cache-0","mimir-store-gateway-zone-a-0","mimir-store-gateway-zone-b-0","mimir-store-gateway-zone-c-0"
2025-05-11 21:50:30,0.000796,0.000904,1.64,3.25,1.37,0.744,0.00137,0.000891,0.00119,0.515,3.86,0.117,0.0374,0.00137,0.0000770,0.0178,0.0186,0.00109,0.0178,0.0240,0.0117
2025-05-11 21:51:00,0.000453,0.00106,2.27,2.48,1.30,0.578,0.00134,0.00113,0.00155,1.26,8.04,0.303,1.00,0.000694,0.0000535,0.0163,0.0167,0.00114,0.0163,0.0176,0.00922
2025-05-11 21:51:30,0.000618,0.000919,2.46,2.88,1.24,0.569,0.00135,0.000841,0.00177,0.121,8.26,1.44,0.536,0.00111,0.0000743,0.0161,0.0165,0.00137,0.0151,0.0213,0.00887
2025-05-11 21:52:00,0.000494,0.000693,2.40,3.15,1.46,0.732,0.001000,0.00109,0.00142,0.0210,12.9,0.243,0.0692,0.000647,0.0000621,0.0164,0.0172,0.000697,0.0177,0.0173,0.00811
2025-05-11 21:52:30,0.000513,0.000490,2.45,2.48,1.25,0.658,0.00160,0.000865,0.00144,0.0886,8.97,0.0851,0.0290,0.000615,0.0000958,0.0160,0.0159,0.00105,0.0151,0.0162,0.00933
2025-05-11 21:53:00,0.000771,0.00105,2.32,2.46,1.05,0.445,0.00119,0.000912,0.00205,1.55,2.88,0.0971,0.989,0.00101,0.0000892,0.0165,0.0165,0.00121,0.0175,0.0325,0.0108
2025-05-11 21:53:30,0.000789,0.000881,2.47,3.24,1.11,0.535,0.00115,0.000810,0.00254,0.949,0.728,1.43,0.946,0.000621,0.0000706,0.0174,0.0175,0.00105,0.0186,0.0304,0.0120
2025-05-11 21:54:00,0.000650,0.000731,2.53,2.11,0.901,0.460,0.00154,0.00128,0.00198,0.0511,4.97,1.18,0.0643,0.000961,0.0000670,0.0195,0.0185,0.00121,0.0170,0.0206,0.0103
2025-05-11 21:54:30,0.000475,0.00109,2.30,1.83,0.969,0.448,0.00110,0.000887,0.00209,0.0873,8.55,0.0333,0.0212,0.000837,0.0000654,0.0174,0.0169,0.000986,0.0178,0.0140,0.0101
2025-05-11 21:55:00,0.000548,0.000701,2.44,2.76,1.29,0.680,0.00133,0.00108,0.00168,0.476,8.52,0.0884,0.0682,0.000720,0.0000859,0.0180,0.0182,0.000995,0.0162,0.0202,0.00937
2025-05-11 21:55:30,0.000515,0.000759,2.26,2.18,1.24,0.594,0.000926,0.00108,0.00119,1.19,14.0,0.376,0.909,0.000790,0.0000815,0.0130,0.0166,0.00154,0.0149,0.0181,0.00816
2025-05-11 21:56:00,0.000541,0.00126,2.48,2.07,1.12,0.437,0.00118,0.00110,0.00251,0.134,10.9,1.10,0.254,0.00119,0.000112,0.0173,0.0186,0.00159,0.0174,0.0217,0.0111
2025-05-11 21:56:30,0.000771,0.00126,1.32,4.91,2.39,0.560,0.000969,0.000817,0.00244,0.994,3.66,1.12,0.998,0.00156,0.0000974,0.0154,0.0161,0.00113,0.0127,0.0243,0.0125
2025-05-11 21:57:00,0.000492,0.000744,2.19,4.92,2.11,0.570,0.000889,0.000942,0.00217,0.797,3.13,0.973,0.862,0.000975,0.0000765,0.0178,0.0175,0.00123,0.0156,0.0280,0.00959
2025-05-11 21:57:30,0.000786,0.000923,2.63,2.81,0.901,0.436,0.00101,0.000932,0.00286,1.29,0.0317,0.0594,0.994,0.000956,0.000112,0.0182,0.0165,0.00120,0.0171,0.0342,0.0132
2025-05-11 21:58:00,0.000745,0.00108,1.24,3.00,1.22,0.576,0.00119,0.00109,0.00303,0.437,0,1.11,0.935,0.00116,0.0000904,0.0191,0.0175,0.00110,0.0160,0.0296,0.0162
2025-05-11 21:58:30,0.000560,0.00139,2.18,2.70,1.28,0.623,0.000948,0.00106,0.00241,0.0904,3.48,0.435,0.0528,0.00121,0.0000999,0.0189,0.0156,0.00116,0.0165,0.0261,0.0128
2025-05-11 21:59:00,0.000708,0.000982,2.48,2.07,1.09,0.538,0.00116,0.00138,0.00108,0.0668,7.48,0.0974,0.0688,0.00104,0.0000861,0.0191,0.0162,0.00105,0.0172,0.0200,0.0111
2025-05-11 21:59:30,0.000632,0.00109,2.53,1.80,0.906,0.494,0.000972,0.00142,0.00137,0.995,6.88,0.0468,0.798,0.00117,0.0000739,0.0195,0.0174,0.00129,0.0182,0.0229,0.0130
2025-05-11 22:00:00,0.000580,0.000879,2.43,2.53,1.11,0.687,0.00124,0.000930,0.00158,1.07,13.0,0.821,1.25,0.00146,0.0000711,0.0174,0.0167,0.000997,0.0160,0.0167,0.00951
2025-05-11 22:00:30,0.000679,0.000813,2.50,1.85,1.06,0.464,0.000855,0.000788,0.00153,0.101,13.7,1.18,0.0354,0.000775,0.0000748,0.0176,0.0177,0.00138,0.0126,0.0170,0.00999
2025-05-11 22:01:00,0.000769,0.000732,2.50,2.03,1.02,0.478,0.000984,0.000993,0.00199,0.0851,5.19,0.0821,0.0520,0.000834,0.0000792,0.0187,0.0173,0.00129,0.0184,0.0305,0.0109
2025-05-11 22:01:30,0.000861,0.000844,2.51,2.77,1.03,0.514,0.00159,0.000639,0.00213,0.0520,0,0.0375,0.208,0.00110,0.0000717,0.0170,0.0161,0.00103,0.0189,0.0328,0.0118
2025-05-11 22:02:00,0.000782,0.00103,2.26,3.71,1.21,0.640,0.00145,0.000859,0.00274,1.15,0,0.0736,1.20,0.00109,0.0000807,0.0181,0.0163,0.00106,0.0189,0.0298,0.00966
2025-05-11 22:02:30,0.000664,0.000815,2.48,3.10,1.05,0.486,0.00113,0.000827,0.00177,0.272,0,1.16,0.208,0.00104,0.0000914,0.0184,0.0165,0.00124,0.0156,0.0286,0.0100
2025-05-11 22:03:00,0.000717,0.000706,2.28,3.60,1.18,0.574,0.00113,0.00103,0.00261,0.0582,0,0.0979,0.0743,0.00123,0.000105,0.0168,0.0170,0.00107,0.0138,0.0342,0.00941
2025-05-11 22:03:30,0.000580,0.000800,2.51,2.79,0.923,0.488,0.00139,0.00115,0.00241,0.0930,0,0.0376,0.0213,0.00126,0.000105,0.0171,0.0134,0.00142,0.0174,0.0341,0.00897
2025-05-11 22:04:00,0.000845,0.000849,2.30,1.56,0.830,0.448,0.00106,0.000822,0.00272,1.28,4.35,0.0832,0.675,0.00139,0.0000872,0.0190,0.0170,0.00191,0.0180,0.0240,0.0124
2025-05-11 22:04:30,0.00109,0.00115,0.536,2.13,1.55,0.790,0.00107,0.00112,0.00118,0.772,8.96,1.00,0.539,0.00107,0.0000567,0.0148,0.0162,0.00154,0.0149,0.0156,0.0129
2025-05-11 22:05:00,0.000586,0.00100,1.14,2.70,1.41,0.550,0.00137,0.00113,0.00191,0.0823,6.87,0.920,0.0522,0.000976,0.0000658,0.0161,0.0163,0.00117,0.0157,0.0220,0.00952
2025-05-11 22:05:30,0.000616,0.000487,1.74,1.51,0.836,0.352,0.00116,0.000603,0.00176,0.0467,10.3,0.0570,0.0535,0.00105,0.0000847,0.0159,0.0155,0.00162,0.0163,0.0184,0.00916