"Time","prom-ring-mimir-c9v8w-4x2sk","prom-ring-mimir-c9v8w-sh4x8","prom-ring-mimir-c9v8w-wkpvk","prom-ring-mimir-c9v8w-x7w2p","prom-ring-mimir-c9v8w-xmljs"
2025-05-13 00:15:00,0.0415,0.0641,0.156,3.26,0.0324
2025-05-13 00:15:30,0.0348,0.0544,0.141,3.24,0.0283
2025-05-13 00:16:00,0.0367,0.0577,0.166,3.25,0.0324
2025-05-13 00:16:30,0.0452,0.0643,0.172,3.27,0.0380
2025-05-13 00:17:00,0.0818,0.0999,0.252,3.25,0.0479
2025-05-13 00:17:30,0.115,0.138,0.332,3.27,0.0652
2025-05-13 00:18:00,0.717,0.752,1.41,3.55,0.280
2025-05-13 00:18:30,1.36,1.28,2.62,3.72,0.474
2025-05-13 00:19:00,2.63,1.60,3.46,3.43,0.670
2025-05-13 00:19:30,2.39,2.09,4.33,1.75,0.665
2025-05-13 00:20:00,4.83,2.77,5.46,2.35,1.16
2025-05-13 00:20:30,7.91,3.83,8.65,1.94,1.78
2025-05-13 00:21:00,5.97,3.23,7.98,1.97,1.65
2025-05-13 00:21:30,3.97,3.47,7.70,1.44,1.03
2025-05-13 00:22:00,4.94,3.62,7.17,1.84,1.84
2025-05-13 00:22:30,3.65,3.95,9.52,1.85,1.52
2025-05-13 00:23:00,5.23,4.44,10.0,2.29,1.78
2025-05-13 00:23:30,5.49,4.97,11.0,2.71,2.34
2025-05-13 00:24:00,7.46,4.84,11.5,3.27,1.75
2025-05-13 00:24:30,9.75,3.48,8.79,1.98,2.27
2025-05-13 00:25:00,13.6,4.31,8.84,2.57,2.27
2025-05-13 00:25:30,12.4,5.65,10.4,2.37,2.12
2025-05-13 00:26:00,11.6,4.79,10.6,2.11,2.13
2025-05-13 00:26:30,11.4,4.60,11.5,2.98,2.74
2025-05-13 00:27:00,10.5,5.64,10.5,3.11,1.84
2025-05-13 00:27:30,8.50,5.48,9.94,1.97,1.67
2025-05-13 00:28:00,5.63,4.57,10.3,1.81,1.65
2025-05-13 00:28:30,4.64,4.16,11.0,2.14,2.69
2025-05-13 00:29:00,5.69,4.73,11.9,3.53,2.08
2025-05-13 00:29:30,6.99,5.62,10.6,2.42,1.80
2025-05-13 00:30:00,6.67,4.90,10.8,2.26,1.91
2025-05-13 00:30:30,8.09,4.67,9.63,2.12,1.95
2025-05-13 00:31:00,3.14,2.19,11.0,3.01,2.32
2025-05-13 00:31:30,0.123,1.56,13.3,5.16,0.764
2025-05-13 00:32:00,3.31,3.73,8.64,4.61,0.955
2025-05-13 00:32:30,7.03,6.21,14.1,3.17,2.45
2025-05-13 00:33:00,6.61,6.76,15.8,3.76,3.06
2025-05-13 00:33:30,2.80,2.58,6.48,3.57,2.18
2025-05-13 00:34:00,4.98,1.66,2.69,4.98,0.527
2025-05-13 00:34:30,5.90,3.14,6.85,3.61,1.01
2025-05-13 00:35:00,5.65,4.88,12.9,3.72,2.05